-,Class.,Ordem da Linha
,Jogador,Nome do Jogador
,Nação,Nacionalidade Jogador
,Pos.,Posição do jogadoro
,Equipe,Equipe do jogador na temporada
,Idade,Idade do jogador
,Nascimento,Data de Nascimento do jogador
Tempo de jogo ,MP,Jogos Disputados
,Inícios,Jogo ou jogos jogados pelo jogador
,Min. ,Minutos jogados
,90s ,Minutos jogados Dividido por 90
Desempenho,Gols ,Gols feitos ou auxiliados
,Assis. ,Assistências
,G+A ,Gols + Assistências
,G-PB ,Gols Normais
,PB ,Pênaltis Batidos
,PT ,Pênaltis Tentados
,CrtsA ,Cartões Amarelo
,CrtV ,Cartões Vermelho
Progressão,PrgC ,"Carregadas Progressivas – Carrega a bola em direção à linha de gol do adversário a pelo menos 9 metros de seu ponto mais distante nos últimos seis passes, ou qualquer carregada para a área de penalidade. Exclui carregadas que terminam nos 50% do campo defensivo"
,PrgP ,"Passes Progressivos - Passes concluídos que movem a bola em direção à linha de gol do adversário a pelo menos 9 metros de seu ponto mais distante nos últimos seis passes, ou qualquer passe concluído para a área de penalidade. Exclui os passes dos 40% do campo defensivo"""
,PrgR ,"Passes progressivos recebidos - >Passes progressivos recebidos<br>Passes concluídos que movem a bola em direção à linha de gol do adversário a pelo menos 9 metros de seu ponto mais distante nos últimos seis passes, ou qualquer passe concluído para a área de penalidade. Exclui os passes dos 40% do campo defensivo"
